Date,Close,Returns,Log Returns
2024-01-03,144.436,1.019,0.018886613919957374
2024-01-04,142.853,0.989,-0.011023598177177284
2024-01-05,142.606,0.998,-0.0017271879713032347
2024-01-08,141.753,0.994,-0.006002018040855514
2024-01-09,138.15,0.975,-0.025746566371268556
2024-01-10,137.012,0.992,-0.008270092446101315
2024-01-11,137.752,1.005,0.005383161812332116
2024-01-12,139.639,1.014,0.013604764397009543
2024-01-16,136.244,0.976,-0.024609297834854674
2024-01-17,135.704,0.996,-0.003974895900478328
2024-01-18,134.471,0.991,-0.009124676615120423
2024-01-19,134.869,1.003,0.00295703264254733
2024-01-22,135.106,1.002,0.0017561627032883882
2024-01-23,134.727,0.997,-0.002811274651688746
2024-01-24,137.41,1.02,0.0197212921168056
2024-01-25,140.871,1.025,0.02487446393775936
2024-01-26,141.412,1.004,0.003829038915814191
2024-01-29,141.355,1.0,-0.0004023442651201343
2024-01-30,142.341,1.007,0.006951726791495885
2024-01-31,139.79,0.982,-0.01808142152101925
2024-02-01,140.227,1.003,0.0031152235192205635
2024-02-02,144.351,1.029,0.028989678977663965
2024-02-05,144.436,1.001,0.0005908279810501975
2024-02-06,144.455,1.0,0.00013141202770673344
2024-02-07,144.247,0.999,-0.0014451078076703216
2024-02-08,146.077,1.013,0.012606799630256089
2024-02-09,143.213,0.98,-0.01979755695235097
2024-02-12,144.199,1.007,0.0068620370898324675
2024-02-13,142.796,0.99,-0.009779359571117885
2024-02-14,143.185,1.003,0.0027187012148374504
2024-02-15,148.054,1.034,0.03344179031765139
2024-02-16,148.217,1.001,0.0010999959546430845
2024-02-20,147.613,0.996,-0.004082524438388657
2024-02-21,148.994,1.009,0.009307200314700316
2024-02-22,148.984,1.0,-6.441948496037234e-05
2024-02-23,148.246,0.995,-0.004966319492292654
2024-02-26,148.045,0.999,-0.0013587610751703704
2024-02-27,145.85,0.985,-0.014937782194405268
2024-02-28,146.022,1.001,0.00118223981742613
2024-02-29,145.706,0.998,-0.002168560830810391
2024-03-01,146.473,1.005,0.005249068582409247
2024-03-04,142.706,0.974,-0.026054599504560166
2024-03-05,143.386,1.005,0.004757410965625142
2024-03-06,142.178,0.992,-0.008458615593030183
2024-03-07,143.175,1.007,0.006986843736089094
2024-03-08,143.664,1.003,0.0034087145212224074
2024-03-11,145.696,1.014,0.014045513631857406
2024-03-12,145.591,0.999,-0.0007239474581581597
2024-03-13,147.508,1.013,0.013081471870084373
2024-03-14,149.243,1.012,0.011692944860427091
2024-03-15,149.099,0.999,-0.0009638851729355153
2024-03-18,148.965,0.999,-0.0009003832202428714
2024-03-19,150.125,1.008,0.007755615711166517
2024-03-20,148.14,0.987,-0.013304780568420962
2024-03-21,148.438,1.002,0.0020039582682274595
2024-03-22,148.246,0.999,-0.0012924663468009802
2024-03-25,149.981,1.012,0.01163516981374996
2024-03-26,148.831,0.992,-0.007698691518752611
2024-03-27,149.866,1.007,0.0069314942222696895
2024-03-28,151.198,1.009,0.008851113366690484
2024-04-01,152.483,1.008,0.008459090432355912
2024-04-02,153.154,1.004,0.004390583868051107
2024-04-03,153.786,1.004,0.004122179262504124
2024-04-04,154.026,1.002,0.0015569509082030816
2024-04-05,154.898,1.006,0.005647158206476773
2024-04-08,154.582,0.998,-0.0020440720494020767
2024-04-09,155.281,1.005,0.004516140552177212
2024-04-10,155.924,1.004,0.0041273614876428544
2024-04-11,155.176,0.995,-0.004806507433442754
2024-04-12,152.368,0.982,-0.01826450014633161
2024-04-15,151.054,0.991,-0.008655899621903669
2024-04-16,149.799,0.992,-0.008347283715970263
2024-04-17,149.914,1.001,0.0007673371365974618
2024-04-18,151.035,1.007,0.007453063422527331
2024-04-19,153.364,1.015,0.015304020649165261
2024-04-22,155.205,1.012,0.011928502832052781
2024-04-23,156.096,1.006,0.005727165177255347
2024-04-24,156.786,1.004,0.0044115981591916565
2024-04-25,158.425,1.01,0.010399885153949932
2024-04-26,159.01,1.004,0.0036840067315349343
2024-04-29,159.432,1.003,0.0026487576064679525
2024-04-30,154.582,0.97,-0.03089364799091437
2024-05-01,153.01,0.99,-0.010221476996496542
2024-05-02,154.064,1.007,0.0068672147958752676
2024-05-03,153.604,0.997,-0.0029906769401200194
2024-05-06,155.569,1.013,0.012711276014947571
2024-05-07,155.924,1.002,0.0022771651656135045
2024-05-08,155.799,0.999,-0.0007995472367069047
2024-05-09,158.588,1.018,0.017744950988467536
2024-05-10,158.943,1.002,0.0022339546224744017
2024-05-13,157.707,0.992,-0.0078100045447993035
2024-05-14,156.825,0.994,-0.00560741397990822
2024-05-15,156.288,0.997,-0.003428535633911858
2024-05-16,155.968,0.998,-0.0020465180333918173
2024-05-17,157.498,1.01,0.009760414030235844
2024-05-20,156.017,0.991,-0.009450039522706219
2024-05-21,154.884,0.993,-0.007287322680816591
2024-05-22,152.56,0.985,-0.015116518326121396
2024-05-23,151.95,0.996,-0.004006135918236171
2024-05-24,152.735,1.005,0.005147890187275318
2024-05-28,153.984,1.008,0.008144083414585064
2024-05-29,151.912,0.987,-0.013546971355817207
2024-05-30,153.228,1.009,0.008630564635789827
2024-05-31,157.14,1.026,0.025207255901406656
2024-06-03,152.454,0.97,-0.030274956662131463
2024-06-04,151.166,0.992,-0.008482394270197667
2024-06-05,150.053,0.993,-0.007393093567208786
2024-06-06,150.972,1.006,0.006111135086195362
2024-06-07,151.118,1.001,0.0009615219253652595
2024-06-10,151.757,1.004,0.004219827937096687
2024-06-11,151.515,0.998,-0.0015963619547648546
2024-06-12,149.317,0.985,-0.0146119611968394
2024-06-13,147.981,0.991,-0.008988602886210654
2024-06-14,147.719,0.998,-0.00176799701887146
2024-06-17,148.32,1.004,0.004055423556346341
2024-06-18,148.455,1.001,0.0009134459029777174
2024-06-20,151.66,1.022,0.021357774342710065
2024-06-21,150.343,0.991,-0.008720213070876743
2024-06-24,154.245,1.026,0.025621933941068077
2024-06-25,153.422,0.995,-0.005349740789171616
2024-06-26,150.992,0.984,-0.01596670001601986
2024-06-27,151.35,1.002,0.002369706070714459
2024-06-28,151.447,1.001,0.0006394847090067231
2024-07-01,151.544,1.001,0.0006391767186639198
2024-07-02,151.766,1.001,0.0014683768906670835
2024-07-03,151.728,1.0,-0.0002552063157805884
2024-07-05,149.404,0.985,-0.0154334213440722
2024-07-08,149.423,1.0,0.00012959592590602856
2024-07-09,148.116,0.991,-0.008786102725630228
2024-07-10,150.198,1.014,0.013956317368334106
2024-07-11,150.324,1.001,0.0008376750535235136
2024-07-12,150.643,1.002,0.002123283197610443
2024-07-15,153.015,1.016,0.015623785190585366
2024-07-16,152.754,0.998,-0.0017099744317074822
2024-07-17,156.104,1.022,0.02169371119955164
2024-07-18,156.82,1.005,0.004579237919940599
2024-07-19,154.09,0.983,-0.017564101562233207
2024-07-22,151.999,0.986,-0.013664927806185235
2024-07-23,149.191,0.982,-0.01864526637098955
2024-07-24,150.14,1.006,0.006339948273638982
2024-07-25,152.531,1.016,0.015802621423711406
2024-07-26,152.822,1.002,0.001902495414585143
2024-07-29,151.621,0.992,-0.007887080427486051
2024-07-30,154.497,1.019,0.0187878515418512
2024-07-31,155.368,1.006,0.005624296334481472
2024-08-01,147.768,0.951,-0.05015580541301506
2024-08-02,143.827,0.973,-0.027029542335240114
2024-08-05,140.061,0.974,-0.026535349467323693
2024-08-06,138.676,0.99,-0.00993454825569279
2024-08-07,137.882,0.994,-0.005741512261385501
2024-08-08,139.896,1.015,0.014500081099195391
2024-08-09,140.38,1.003,0.0034544518841787587
2024-08-12,140.409,1.0,0.00020693594134882132
2024-08-13,139.567,0.994,-0.006017284934266817
2024-08-14,140.07,1.004,0.0036007267850721066
2024-08-15,142.133,1.015,0.0146159812486095
2024-08-16,142.588,1.003,0.0031965604762325675
2024-08-19,143.753,1.008,0.008137690636787763
2024-08-20,141.658,0.985,-0.014682052545168404
2024-08-21,142.275,1.004,0.004344747957150077
2024-08-22,142.676,1.003,0.002817317785850308
2024-08-23,144.526,1.013,0.012885891394064873
2024-08-26,145.388,1.006,0.0059435484264372005
2024-08-27,143.87,0.99,-0.010492675008148407
2024-08-28,142.94,0.994,-0.006485725863455754
2024-08-29,144.331,1.01,0.009679052257122091
2024-08-30,144.849,1.004,0.003588706792797666
2024-09-03,141.628,0.978,-0.022488130622799033
2024-09-04,139.093,0.982,-0.018066264063923757
2024-09-05,137.977,0.992,-0.00805676655885042
2024-09-06,135.656,0.983,-0.016959728843152885
2024-09-09,137.36,1.013,0.012479558905931115
2024-09-10,135.333,0.985,-0.01486407937675339
2024-09-11,134.99,0.997,-0.002535121738698231
2024-09-12,136.293,1.01,0.009599819577834201
2024-09-13,137.663,1.01,0.010006451445883966
2024-09-16,139.112,1.011,0.010470495111977472
2024-09-17,140.405,1.009,0.009247047983997742
